Law Type,Law Name/Section,Law Details,Law Summary,Applicability,Whom to Approach,Historical Context,Real-life Example
BNS,Section 101 - Murder,"Punishment: Death or life imprisonment and fine.","Protects you when someone is intentionally killed. Strict punishment ensures justice for victims.","If someone intentionally causes the death of another person, or you witness such an act.","Report immediately to the nearest police station and help file an FIR.","Central provision in BNS replacing IPC Section 302.","Intentional stabbing leads to victim's death."
BNS,Section 102 - Attempt to Murder,"Punishment: Up to 10 years imprisonment and fine.","Protects you if someone tries to kill but fails. Aims to deter violent attempts.","If someone attacks you or another person with intent to kill, but the victim survives.","Go to the nearest police station and file a complaint/FIR. Seek medical help if injured.","Addresses dangerous attempts, not just completed crimes.","Shooting at someone but missing."
BNS,Section 105 - Culpable Homicide Not Amounting to Murder,"Punishment: Life imprisonment or up to 10 years and fine.","Used when someone's reckless act causes death without clear intent to kill.","If a person dies due to someone else's reckless but not deliberate action.","Report to police for investigation. File an FIR.","Distinguishes murder from manslaughter.","Drunk driver causes fatal accident."
BNS,Section 115 - Grievous Hurt,"Punishment: Up to 7 years imprisonment and fine.","Protects you from serious physical injuries caused intentionally.","If you suffer a serious injury (broken bones, permanent damage, etc.) due to someone.","Report to police and seek medical help. File an FIR and provide medical records.","Defines 'grievous' injuries for strict punishment.","Arm broken in an assault."
BNS,Section 116 - Voluntarily Causing Hurt,"Punishment: Up to 1 year imprisonment or fine or both.","Protects you from being intentionally hurt by someone.","If someone slaps, hits, or physically injures you.","Go to police station and file a complaint.","Covers minor physical injuries.","Slapped during an argument."
BNS,Section 117 - Voluntarily Causing Hurt by Dangerous Weapons,"Punishment: Up to 3 years imprisonment or fine or both.","Ensures strict punishment for attacks with weapons.","If hurt with a knife, rod, acid, etc.","Report to police and provide evidence or witness details.","Focuses on weapon-related assaults.","Attacked with a knife."
BNS,Section 118 - Voluntarily Causing Grievous Hurt,"Punishment: Up to 7 years imprisonment and fine.","Strict punishment for causing serious physical injuries intentionally.","If you or someone else suffers a serious injury (fractures, loss of senses, etc.).","File a complaint at the local police station and provide medical records.","Covers serious injuries beyond minor hurt.","Eye permanently damaged in a fight."
BNS,Section 119 - Voluntarily Causing Grievous Hurt by Dangerous Weapons,"Punishment: Life imprisonment or up to 10 years and fine.","Protects against serious attacks using dangerous weapons.","If injured by acid, firearms, or sharp weapons.","Report to police and seek medical treatment. Provide all details and evidence.","Focuses on acid attacks and weapon injuries.","Acid thrown at a person during a dispute."
BNS,Section 140 - Assault or Criminal Force to Woman with Intent to Outrage Her Modesty,"Punishment: Up to 2 years imprisonment and fine.","Protects women from sexual harassment and assault.","If you or someone else is a victim of molestation or inappropriate touch.","Go to nearest police station or women's cell to file an FIR.","Key law in women's safety.","Woman groped in public."
BNS,Section 141 - Sexual Harassment,"Punishment: Up to 3 years imprisonment and fine.","Covers all forms of sexual harassment at workplace or public spaces.","If someone makes unwelcome advances, comments, or physical contact.","Report to police or Internal Complaints Committee (for workplaces).","Strengthened after major awareness movements.","Unwanted sexual jokes at work."
BNS,Section 143 - Stalking,"Punishment: Up to 3 years imprisonment and fine.","Protects you from being repeatedly followed or contacted against your will.","If someone follows, sends repeated messages, or persistently watches you.","Save evidence and complain to police or cyber cell (for online stalking).","Added to address rising stalking incidents.","Repeated messages from a stranger on social media."
BNS,Section 150 - Kidnapping,"Punishment: Up to 7 years imprisonment and fine.","Protects children and adults from being taken away without consent.","If someone is abducted or missing suspiciously.","File an FIR at the nearest police station immediately.","Essential for missing person cases.","Child taken from school without parental consent."
BNS,Section 151 - Kidnapping or Abducting Woman to Compel Marriage,"Punishment: Up to 10 years imprisonment and fine.","Protects women from being forced into marriage or trafficking.","If a woman is kidnapped or forced to marry against her will.","File a complaint at the police station or women's cell.","Addresses forced marriage and trafficking.","Abducted and forced to marry abductor."
BNS,Section 153 - Rape,"Punishment: Not less than 10 years, may extend to life imprisonment.","Protects women from sexual assault; defines rape in detail.","If any woman is forced into sexual intercourse without consent.","File an FIR at the nearest police station as soon as possible.","Based on ongoing gender justice reforms.","Woman raped by her employer."
