Law Type,Law Name/Section,Law Details,Law Summary,Applicability,Whom to Approach,Historical Context,Real-life Example
CrPC,Section 41 - Arrest without Warrant,"Police can arrest without a warrant in certain cases.","Allows police to arrest without a warrant if someone is caught committing a cognizable offence or is suspected of such an offence.","If you see a crime being committed or are a victim of a serious crime, the police can act immediately without waiting for a court order.","Contact your local police station immediately if urgent police action is needed.","Empowers police for quick response in serious cases.","Police arrest a thief caught in the act."
CrPC,Section 46 - How Arrest is Made,"Details the manner in which an arrest should be made.","Protects your rights and ensures police follow due process during arrest.","If you or someone you know is being arrested, police must inform you and use minimal force.","If necessary, ask for a copy of the arrest memo and contact a lawyer.","Ensures humane and legal treatment during arrest.","Police inform a suspect of the reason for arrest and provide a memo."
CrPC,Section 50 - Person Arrested to be Informed of Grounds of Arrest,"Police must inform the arrested person of the reason for arrest and their right to bail.","You have the right to know why you are being arrested.","If you or someone you know is arrested, ask the police to clearly state the grounds for arrest and right to bail.","If not informed, request this information or contact a lawyer.","Safeguards against arbitrary detention.","Police explain the charges during an arrest."
CrPC,Section 57 - Person Arrested Not to be Detained More than 24 Hours,"Police must produce an arrested person before a magistrate within 24 hours.","Prevents illegal detention for more than a day without court approval.","If you or someone you know is arrested, ensure they are brought before court within 24 hours.","Contact the court or a lawyer if this right is violated.","Protects individual liberty.","A person detained overnight is presented to the magistrate the next morning."
CrPC,Section 60A - Arrest to be Made Strictly According to Code,"Police must follow all legal procedures during arrest.","Ensures that your legal rights are protected during arrest.","If arrest procedures are not followed, you or your lawyer can challenge the arrest.","Contact a lawyer or the magistrate if rules are not followed.","Prevents abuse of police powers.","A person is arrested without proper paperwork and is released by the magistrate."
CrPC,Section 91 - Summons to Produce Documents or Other Things,"Court or police can require someone to produce documents or evidence.","Ensures evidence is available for investigation or trial.","If you receive a summons, you must produce the requested documents in court or police station.","Cooperate with authorities and consult a lawyer if unsure.","Used in investigations and court cases.","Bank receives a summons to produce transaction records."
CrPC,Section 125 - Maintenance of Wives, Children and Parents,"Court can order financial support for wives, children, and parents who cannot maintain themselves.","Ensures family members are not left destitute.","If you are a wife, child, or parent not being supported, you can apply for maintenance in court.","File an application in the local magistrate's court for maintenance.","Protects vulnerable family members.","Wife files for monthly maintenance from estranged husband."
CrPC,Section 154 - Information in Cognizable Cases (FIR),"Police must register a First Information Report (FIR) for serious offences.","You can demand the police to register an FIR if you report a cognizable offence.","If you are a victim or witness of a serious crime (like theft, assault), you have the right to file an FIR.","Go to the nearest police station and insist on filing an FIR.","Foundation for police investigation in India.","Reporting a stolen vehicle to the police."
CrPC,Section 156 - Police Officer's Power to Investigate Cognizable Cases,"Police can investigate serious offences without court orders.","Ensures prompt investigation of serious crimes.","If a cognizable offence occurs, the police can immediately begin investigation after FIR is filed.","Contact the police to follow up on investigation progress.","Empowers police for timely action.","Police start investigating a murder after FIR is filed."
CrPC,Section 160 - Police Power to Require Attendance of Witnesses,"Police can summon witnesses for questioning during investigation.","You may be required to attend the police station as a witness.","If you receive a notice to appear as a witness, you must attend or provide a valid reason for absence.","Cooperate with police and ask for written notice.","Helps police gather information for cases.","A shopkeeper is called to testify about a crime he witnessed."
CrPC,Section 164 - Recording of Confessions and Statements,"Confessions or statements must be recorded by a magistrate.","Ensures confessions are voluntary and not forced.","If you want to confess or give a statement in a case, you can request that it be recorded before a magistrate.","Approach the magistrate's court for recording your statement.","Prevents police coercion during confession.","Accused confesses to crime in front of a magistrate."
CrPC,Section 167 - Procedure when Investigation Cannot be Completed in 24 Hours,"Police can request more time to hold an accused if investigation isn't finished.","Limits how long you can be kept in custody without charges.","If you are detained but not charged within 24 hours, police must seek magistrate's permission for further custody.","Check with the court or consult a lawyer for bail.","Protects against long detention without evidence.","Police get court order to extend custody for further investigation."
CrPC,Section 173 - Report of Police Officer on Completion of Investigation (Chargesheet),"Police must submit a chargesheet to court after investigation is complete.","Ensures the case moves forward to trial after investigation.","If you are the accused or victim, you can request a copy of the chargesheet once filed.","Approach the court for case status updates.","Marks end of police investigation phase.","Police file chargesheet in a fraud case."
CrPC,Section 190 - Cognizance of Offences by Magistrates,"Magistrates can take up cases and start legal proceedings based on police reports or complaints.","Allows courts to begin trial on police or private complaints.","If police or a private person files a complaint, magistrate can begin the trial process.","Approach the magistrate for case initiation or status.","Forms the basis of criminal trials in India.","Magistrate starts trial after police files chargesheet."
CrPC,Section 200 - Examination of Complainant,"Magistrate must examine the complainant and any witnesses before taking cognizance of a private complaint.","Ensures complaints are genuine before starting a case.","If you file a private complaint, you must be ready to be examined by the magistrate.","Go to magistrate's court on hearing date.","Prevents misuse of criminal justice system.","A citizen files a complaint about property trespass."
CrPC,Section 202 - Postponement of Issue of Process,"Magistrate can postpone summoning the accused and order further inquiry.","Ensures only genuine cases proceed to trial.","If you are accused, you may request the magistrate to order further inquiry before being summoned.","Contact your lawyer to request inquiry.","Protects against false cases.","Magistrate orders police to verify facts before issuing summons."
CrPC,Section 204 - Issue of Process,"Magistrate issues summons or warrants to accused after finding sufficient grounds.","Starts the process of bringing accused to trial.","If you receive a summons or warrant, attend court on the specified date.","Consult your lawyer and comply with court orders.","Initiates the trial process.","Person receives court summons for cheque bounce case."
CrPC,Section 207 - Supply of Copy of Police Report and Other Documents to Accused,"Accused must be given copies of the chargesheet and evidence.","Ensures fair trial by providing accused access to case documents.","If you are accused in a case, ask for all case papers and evidence from the court.","Request documents from the court or your lawyer.","Promotes transparency in trials.","Accused receives copy of FIR and witness statements."
CrPC,Section 209 - Commitment of Case to Sessions Court,"Serious offences must be committed to the Sessions Court for trial.","Ensures serious cases are tried by a higher court.","If charged with a serious crime (like murder), your case will be sent to Sessions Court.","Follow court instructions and consult your lawyer.","For cases punishable by life imprisonment/death.","Murder case sent to Sessions Court."
CrPC,Section 227 - Discharge of Accused,"Court can discharge accused if evidence is insufficient.","Protects you from being tried without enough evidence.","If you or someone you know is falsely accused, request discharge before trial begins.","Ask your lawyer to file a discharge application.","Prevents unnecessary trials.","Court discharges accused in a false theft case."
CrPC,Section 228 - Framing of Charge,"Court frames charges based on evidence and proceeds to trial.","Marks the start of formal trial.","If you are accused and charges are framed, you will be asked to plead guilty or not guilty.","Consult your lawyer about the charges.","Sets stage for criminal trial.","Court frames charges in a corruption case."
CrPC,Section 239 - Acquittal of Accused,"Court can acquit accused if there is no evidence even before trial starts.","Protects against wrongful prosecution.","If you are wrongly accused, request acquittal before trial.","Ask your lawyer to file for acquittal at the appropriate stage.","Saves time and resources in false cases.","Court acquits person in a bogus cheque bounce case."
CrPC,Section 240 - Framing of Charge in Warrant Cases,"Court frames charges in cases that require a warrant.","Ensures clarity in trial process for serious offences.","If you are facing a warrant case, charges will be formally read out before trial.","Listen carefully and consult your lawyer.","Applies to cases like theft, cheating, etc.","Charges framed in a major fraud case."
CrPC,Section 245 - Acquittal in Cases Instituted Otherwise Than on Police Report,"Court can acquit if no evidence in private complaint cases.","Protects you from false private complaints.","If you are accused in a private complaint, you can seek acquittal if there is no evidence.","Request your lawyer to file for acquittal.","For non-FIR cases.","Acquittal in a defamation case filed by private party."
CrPC,Section 249 - Absence of Complainant,"Court may acquit accused if complainant is absent without reason.","Prevents misuse of courts by absent complainants.","If you are accused and the complainant does not show up repeatedly, you can seek acquittal.","Ask your lawyer to raise the issue in court.","Discourages frivolous cases.","Case dismissed as complainant stops attending hearings."
CrPC,Section 260 - Summary Trials,"Allows for speedy trial of minor offences.","Ensures quick resolution of simple cases.","If you are involved in a minor offence, your case may be handled as a summary trial for faster disposal.","Request a summary trial if eligible, via your lawyer.","Reduces court backlog.","Minor theft case settled quickly."
