Law Type,Law Name/Section,Law Details,Law Summary,Applicability,Whom to Approach,Historical Context,Real-life Example
IPC,Section 302 - Punishment for Murder,"Death penalty or life imprisonment and fine.","Protects you if someone is intentionally killed. Ensures the most severe punishment for murder.","If someone is killed intentionally or you witness a murder.","Report immediately to the nearest police station and help file an FIR.","Core provision of Indian criminal law since 1860.","A person is stabbed to death during a fight."
IPC,Section 307 - Attempt to Murder,"Imprisonment up to 10 years and fine.","Protects you if someone tries to kill you or someone else but fails.","If someone attacks you or another person with intent to kill but the victim survives.","Go to the nearest police station and file a complaint/FIR. Seek medical help if injured.","Covers attempts to murder, not just successful acts.","An assailant shoots at a person, but the bullet misses."
IPC,Section 304 - Culpable Homicide Not Amounting to Murder,"Imprisonment for life or up to 10 years and fine.","Used when someone causes death without clear intent to kill, but with knowledge their act could be fatal.","If a person dies due to someone else's reckless but not deliberate action.","Report to the police so they can investigate the circumstances. File an FIR.","Distinguishes between murder and manslaughter.","A drunk driver causes a fatal accident."
IPC,Section 300 - Definition of Murder,"Defines murder and its exceptions.","Helps you understand when a killing is considered murder and when it’s not.","If there’s a death and you’re unsure if it is murder, manslaughter, or self-defense.","Consult with the police or a lawyer for clarification.","Foundation for all murder investigations.","A person kills another in a sudden fight without planning."
IPC,Section 320 - Grievous Hurt,"Imprisonment up to 7 years and fine.","Protects you from serious physical injuries caused intentionally.","If someone severely injures you (broken bones, permanent damage, etc.).","Report to the police and seek immediate medical help. File an FIR.","Defines 'grievous' injuries for strict punishment.","A person’s arm is broken in an assault."
IPC,Section 323 - Voluntarily Causing Hurt,"Imprisonment up to 1 year or fine or both.","Protects you from being physically hurt by someone.","If someone slaps, punches, or hurts you.","Go to the police station and file a complaint.","Covers minor physical injuries.","You are slapped during an argument."
IPC,Section 324 - Voluntarily Causing Hurt by Dangerous Weapons,"Imprisonment up to 3 years or fine or both.","Ensures strict punishment if someone attacks you with a weapon.","If you are injured with a knife, rod, acid, etc.","Report to the police immediately and provide any evidence or witness details.","Focuses on weapon-related assaults.","A person is attacked with a knife."
IPC,Section 325 - Voluntarily Causing Grievous Hurt,"Imprisonment up to 7 years and fine.","Strict punishment for causing serious physical injuries intentionally.","If you or someone else suffers serious injury (fracture, loss of senses, etc.).","File a complaint at the local police station and provide medical records.","Grievous hurt is more serious than simple hurt.","A person’s eye is permanently damaged in a fight."
IPC,Section 326 - Voluntarily Causing Grievous Hurt by Dangerous Weapons,"Imprisonment for life or up to 10 years and fine.","Protects you against serious attacks using dangerous weapons.","If injured by acid, firearms, or sharp weapons.","Report to the police and seek medical treatment. Provide all details and evidence.","Focus on acid attacks and weapon-related injuries.","Acid thrown at a woman during a dispute."
IPC,Section 354 - Assault or Criminal Force to Woman with Intent to Outrage Her Modesty,"Imprisonment up to 2 years and fine.","Protects women from sexual harassment and assault.","If you or someone else is a victim of molestation or inappropriate touch.","Go to the nearest police station or women’s cell to file an FIR.","Key law in women’s safety.","A woman is groped in a public place."
IPC,Section 354A - Sexual Harassment,"Imprisonment up to 3 years and fine.","Covers all forms of sexual harassment at workplace or public spaces.","If someone makes unwelcome advances, comments, or physical contact.","Report to police or Internal Complaints Committee (for workplaces).","Strengthened after Nirbhaya case.","Unwanted sexual jokes at work."
IPC,Section 354D - Stalking,"Imprisonment up to 3 years and fine.","Protects you from being repeatedly followed or contacted against your will.","If someone follows you, sends repeated messages, or watches you persistently.","Save evidence and complain to police or cyber crime cell (if online stalking).","Added to address rising stalking incidents.","Repeated messages from a stranger on social media."
IPC,Section 363 - Kidnapping,"Imprisonment up to 7 years and fine.","Protects children and adults from being taken away without consent.","If someone is abducted or missing suspiciously.","File an FIR at the nearest police station immediately.","Essential for missing person and abduction cases.","A child is taken from school without parental consent."
IPC,Section 366 - Kidnapping, Abducting or Inducing Woman to Compel Her Marriage,"Imprisonment up to 10 years and fine.","Protects women from being forced into marriage or trafficking.","If a woman is kidnapped or forced to marry against her will.","File a complaint at the police station or women’s cell.","Addresses forced marriage and trafficking.","A woman is abducted and forced to marry her abductor."
IPC,Section 375 - Rape,"Imprisonment not less than 10 years, may extend to life.","Protects women from sexual assault; defines rape in detail.","If any woman is forced into sexual intercourse without consent.","File an FIR at the nearest police station or women’s helpdesk as soon as possible.","Based on ongoing gender justice reforms.","A woman is raped by her employer."
IPC,Section 376 - Punishment for Rape,"Imprisonment not less than 10 years, may extend to life.","Ensures severe punishment for rape offenders.","If you or someone you know is a victim of rape.","Report to police immediately, seek medical help and counseling.","Stricter after 2013 amendments.","A minor is sexually assaulted by a neighbor."
IPC,Section 377 - Unnatural Offences,"Section partially struck down. Consensual sex between adults is not punishable.","Protects the rights of consenting adults. Non-consensual acts or acts with minors/animals remain punishable.","If sexual acts are forced or involve minors/animals.","Report to police if there is abuse, force, or involvement of minors.","Updated after 2018 Supreme Court judgment.","Non-consensual acts with minors are still crimes."
IPC,Section 378 - Theft,"Imprisonment up to 3 years or fine or both.","Protects your belongings from being stolen.","If your money, mobile, jewelry, or other items are stolen.","Report theft to the nearest police station with details and evidence.","Covers all forms of theft.","Your mobile phone is stolen on the bus."
IPC,Section 379 - Punishment for Theft,"Imprisonment up to 3 years or fine or both.","Ensures strict punishment for anyone who steals.","If you know who stole your property or have evidence.","File an FIR at the police station and provide any witness details.","Direct provision for punishing thieves.","Thief caught stealing a bicycle."
