Law Type,Law Name/Section,Law Details,Law Summary,Applicability,Whom to Approach,Historical Context,Real-life Example
Taxation,Income Tax Act Section 139 - Filing of Return,"You must file your Income Tax Return annually if your income exceeds basic exemption limits.","Ensures everyone with taxable income files a return and declares earnings honestly.","If your total income (salary, business, rental, etc.) exceeds the exemption limit for the year.","File your return online at incometax.gov.in or consult a Chartered Accountant.","Central to India's tax compliance system.","Salaried employee files ITR before July 31."
Taxation,Income Tax Act Section 140A - Self-Assessment Tax,"You must pay any outstanding tax due before filing your return.","Prevents interest and penalties for non-payment of due taxes.","If you calculate more tax is payable after TDS, you must pay before submitting your return.","Pay online via e-filing portal or through your bank.","Encourages timely tax payment.","Freelancer pays extra tax on income not covered by TDS."
Taxation,Income Tax Act Section 142(1) - Notice for Inquiry,"Tax officer can issue notice for information/documents if your return is selected for scrutiny.","You must respond to tax department's questions and provide requested documents.","If you receive a notice about your income or deductions.","Check and reply online on e-filing portal or consult a tax expert.","Used in tax scrutiny and investigations.","Taxpayer receives notice to explain high-value transactions."
Taxation,Income Tax Act Section 143(1) - Processing of Return,"Your return is automatically processed and intimation sent if there are any discrepancies.","Helps you know if your return is accepted or needs correction.","After filing, check your email/SMS for intimation from Income Tax Department.","Respond promptly if there's a mismatch or demand raised.","Automates return processing for speed.","Mismatch in TDS leads to refund adjustment."
Taxation,Income Tax Act Section 143(2) - Scrutiny Assessment,"Tax officer can examine your return in detail if selected for scrutiny.","Allows detailed verification of sources, deductions, exemptions, etc.","If you receive a scrutiny notice, submit all required documents and explanations.","Reply online or appear before tax officer as directed.","Ensures tax compliance and detects evasion.","Businessman's return picked for scrutiny due to high cash deposits."
Taxation,Income Tax Act Section 194 - TDS on Payments,"Tax must be deducted at source on salaries, interest, rent, etc.","Ensures tax is collected in advance from various income sources.","If you make payments (salary, rent, etc.) exceeding specified limits, deduct TDS and deposit with government.","Consult your HR, accountant, or check TDS rules on incometax.gov.in.","Prevents tax evasion by direct deduction.","Employer deducts TDS from employee salary."
Taxation,Income Tax Act Section 234A/B/C - Interest for Late Filing/Payment,"You must pay interest for late filing of returns or late payment of advance tax.","Discourages delay in tax compliance.","If you miss due dates for filing or advance tax payment.","Pay the applicable interest along with your tax payment.","Encourages prompt compliance.","Late filing attracts extra interest payable."
Taxation,Income Tax Act Section 271 - Penalty for Concealment or Misreporting,"Heavy penalty for hiding income or giving wrong info in returns.","Prevents tax evasion and encourages honest reporting.","If you are caught hiding or misstating income, penalty up to 200% of tax due may apply.","Respond to tax notice; appeal if penalty is wrongly levied.","Strict anti-evasion measure.","Businessman hides cash sales to evade tax."
Taxation,Income Tax Act Section 80C - Deductions for Investments,"You can claim deductions for specific investments (LIC, PPF, ELSS, etc.) up to ₹1.5 lakh.","Helps reduce your taxable income by investing in approved schemes.","If you invest in eligible options, claim deduction while filing return.","Declare investments in your ITR and keep proof for verification.","Promotes savings and investment.","Taxpayer buys LIC policy and claims deduction."
Taxation,Income Tax Act Section 80D - Deduction for Health Insurance,"Claim deduction for health insurance premiums for self and family.","Encourages health insurance and reduces taxable income.","If you pay health insurance premium, claim deduction at the time of filing return.","Declare premium paid in ITR and keep receipts.","Promotes health coverage.","Family buys medical insurance and claims deduction."
Taxation,Income Tax Act Section 80G - Deduction for Donations,"Claim deduction for donations to approved charities.","Encourages philanthropy and reduces taxable income.","If you donate to eligible organizations, claim deduction in your return.","Keep donation receipts and claim while filing ITR.","Promotes charitable giving.","Taxpayer donates to PM Relief Fund and claims deduction."
Taxation,Income Tax Act Section 10(14) - Exemptions for Allowances,"Certain allowances (HRA, LTA, etc.) are tax-free up to limits.","Reduces tax burden for salaried employees.","If you receive HRA, LTA or other eligible allowances, claim exemption with proof.","Provide rent receipts or travel proofs to employer or claim in ITR.","Helps in salary structuring.","Employee claims HRA exemption with rent receipts."
Taxation,Income Tax Act Section 24(b) - Interest on Home Loan,"Deduction for interest paid on housing loan up to ₹2 lakh per year.","Helps lower tax outgo for home buyers.","If you pay interest on home loan for self-occupied property, claim deduction in ITR.","Get interest certificate from bank and claim in return.","Promotes housing sector.","Homeowner claims tax benefit on home loan interest."
Taxation,Income Tax Act Section 54 - Capital Gains Exemption on House Sale,"Exemption if you reinvest sale proceeds in another house.","Encourages reinvestment in property and reduces tax on gains.","If you sell a house and buy another within specified period, claim exemption.","Report in ITR and submit relevant proofs.","Promotes housing market activity.","Seller reinvests and saves tax on capital gains."
Taxation,Income Tax Act Section 234F - Fee for Late Filing,"Fee of up to ₹5000 if you file return after due date.","Discourages late filing of tax returns.","If you miss the deadline for filing your return, pay the late fee in addition to tax.","Pay online through e-filing portal.","Encourages timely compliance.","Taxpayer files return in August and pays late fee."
Taxation,Income Tax Act Section 276C - Prosecution for Wilful Attempt to Evade Tax,"Jail term up to 7 years for deliberate tax evasion.","Strict penalty for serious tax fraud.","If caught evading tax deliberately, prosecution and imprisonment may follow.","Respond to tax notice and consult a tax lawyer immediately.","Deters major evasion.","Businessman caught in fake billing racket."
